OrderID,OrderDate,Region_City_Country,Channel,PromotionName,ProductName,Manufacturer,Category_SubCategory,UnitCost,Price,OrderQty,Row_Id
657,07-10-2017,"Asia,Beijing,China",Online,no discount,Contoso DVD Recorder L210 Silver,"Contoso, Ltd","Music, Movies and Audio Books-Movie DVD",87.93825523,219,20,23655
7059,08-10-2017,"Asia,Beijing,China",Online,asian holiday promotion,A. Datum Bridge Digital Camera M300 Orange,A. Datum Corporation,Cameras and camcorders -Digital Cameras,104.5067641,186.9,13,25933
969,09-10-2017,"Asia,Beijing,China",Online,asian summer promotion,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Audio-Bluetooth Headphones,10.49282353,99.99,12,18551
7061,10-10-2017,"Asia,Beijing,China",Online,asian spring promotion,Proseware CRT19 E201 White,"Proseware, Inc.",Computers-Monitors,40.24628025,69,36,22117
7740,11-10-2017,"Asia,Beijing,China",Online,no discount,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",TV and Video-Home Theater System,39.82159101,299.9,25,18552
7605,12-10-2017,"Asia,Beijing,China",Online,no discount,A. Datum Bridge Digital Camera M300 Green,A. Datum Corporation,Cameras and camcorders -Digital Cameras,2.889431582,186.9,10,20697
7069,13-10-2017,"Asia,Beijing,China",Online,asian holiday promotion,WWI LCD17W E200 White,Wide World Importers,Computers-Monitors,34.37380511,129,6,20698
1755,14-10-2017,"Asia,Beijing,China",Online,asian spring promotion,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Audio-Bluetooth Headphones,63.75475789,67.4,4,22890
7119,15-10-2017,"North America,Yakima,United States",Store,north america spring promotion,Contoso SLR Camera M145 Blue,"Contoso, Ltd",Cameras and camcorders -Digital SLR Cameras,0.522103372,343,9,25354
689,16-10-2017,"Europe,Cheshire,United Kingdom",Store,european spring promotion,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Cameras and camcorders -Digital SLR Cameras,234.086252,304,12,21017
7015,17-10-2017,"Europe,Cheshire,United Kingdom",Store,european holiday promotion,Proseware Photo Inkjet Printer E290 Green,"Proseware, Inc.","Computers-Printers, Scanners & Fax",68.03647475,102,8,21019
7020,18-10-2017,"Europe,Cheshire,United Kingdom",Store,european spring promotion,Contoso Integrated Business Phone L08 White,"Contoso, Ltd",Cell phones-Home & Office Phones,17.42997532,31,12,23274
698,19-10-2017,"North America,Cle Elum,United States",Store,no discount,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Cameras and camcorders -Digital SLR Cameras,241.9087418,304,20,5272
7043,20-10-2017,"North America,Westminster,Canada",Store,no discount,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Computers-Desktops,183.6928528,269.9,15,5273
7080,21-10-2017,"North America,Pittsfield,United States",Store,north america holiday promotion,Fabrikam SLR Camera X149 Blue,"Fabrikam, Inc.",Cameras and camcorders -Digital SLR Cameras,359.5164091,627,13,5274
7052,22-10-2017,"North America,Pittsfield,United States",Store,no discount,Contoso Bright Light battery E20 Pink,"Contoso, Ltd",Computers-Computers Accessories,23.69617072,26.9,5,7786
7022,23-10-2017,"North America,Baytown,United States",Store,north america holiday promotion,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Audio-Recording Pen,144.8171693,199.95,13,25786
1260,24-10-2017,"Europe,Berlin,Germany",Online,no discount,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Audio-MP4&MP3,1.881348939,12.99,5,18281
7084,25-10-2017,"Europe,Berlin,Germany",Online,no discount,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",TV and Video-Home Theater System,206.3866155,409,10,23639
7728,26-10-2017,"Europe,Berlin,Germany",Online,european back-to-scholl promotion,"Adventure Works 20"" CRT TV E15 White",Adventure Works,TV and Video-Televisions,128.7334595,169.99,9,23880
416,27-10-2017,"Europe,Berlin,Germany",Online,european holiday promotion,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Cell phones-Smart phones & PDAs ,152.4262732,310,16,24663
273,28-10-2017,"Europe,Berlin,Germany",Online,european holiday promotion,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Audio-MP4&MP3,39.63631903,77.68,8,23841
837,29-10-2017,"Europe,Berlin,Germany",Online,no discount,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",Audio-MP4&MP3,51.04446149,95.95,10,23842
407,30-10-2017,"Europe,Berlin,Germany",Online,european holiday promotion,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",Audio-MP4&MP3,203.7160035,232,16,23071
6990,31-10-2017,"Europe,Berlin,Germany",Online,european holiday promotion,SV Keyboard E10 Grey,Southridge Video,Computers-Computers Accessories,9.367645808,44,32,19877
7339,01-11-2017,"Europe,Berlin,Germany",Online,european holiday promotion,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",Audio-MP4&MP3,125.1350037,232,16,19611
161,02-11-2017,"Europe,Berlin,Germany",Online,european spring promotion,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Audio-Bluetooth Headphones,41.95297425,47.95,24,23069
7045,03-11-2017,"Europe,Berlin,Germany",Online,european holiday promotion,Adventure Works CRT19 E10 Black,Adventure Works,Computers-Monitors,12.93584514,69,8,23070
840,04-11-2017,"Europe,Berlin,Germany",Online,european holiday promotion,Fabrikam Social Videographer 1/3'' 8.5mm E200 Black,"Fabrikam, Inc.",Cameras and camcorders -Camcorders,165.8605344,165,8,23203
7410,05-11-2017,"Europe,Berlin,Germany",Online,european back-to-scholl promotion,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Audio-Bluetooth Headphones,21.74167523,249.99,9,6243
7280,06-11-2017,"Europe,Cambridge,United Kingdom",Store,north america spring promotion,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Audio-Recording Pen,43.48670854,199.95,9,6244
7682,07-11-2017,"Asia,Ashgabat,Turkmenistan",Store,no discount,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Audio-MP4&MP3,5.100710544,14.52,5,24243
1472,08-11-2017,"Asia,Ashgabat,Turkmenistan",Store,asian holiday promotion,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,"Fabrikam, Inc.",Cameras and camcorders -Camcorders,33.54722946,1600,13,24245
931,09-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Audio-MP4&MP3,6.651236879,21.57,12,18494
680,10-11-2017,"North America,Seattle,United States",Reseller,no discount,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Audio-MP4&MP3,13.25229733,21.57,20,6014
7374,11-11-2017,"North America,Seattle,United States",Reseller,north america holiday promotion,Adventure Works Laptop15 M1501 Red,Adventure Works,Computers-Laptops,12.58895676,699,13,494
329,12-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,"Proseware, Inc.","Computers-Printers, Scanners & Fax",123.546936,229,12,495
1501,13-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Audio-MP4&MP3,53.91874622,77.68,12,24014
7327,14-11-2017,"North America,Seattle,United States",Reseller,north america holiday promotion,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",TV and Video-Home Theater System,482.4752869,599,13,18495
6983,15-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Audio-MP4&MP3,93.62112684,134,24,19074
7088,16-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Computers-Desktops,27.11312269,499.9,24,19950
890,17-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Computers-Desktops,278.8407935,499.9,72,19951
7109,18-11-2017,"North America,Seattle,United States",Reseller,north america spring promotion,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Computers-Laptops,78.63610848,326,18,26241
939,19-11-2017,"North America,Seattle,United States",Reseller,no discount,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",Audio-MP4&MP3,117.2014532,255,10,1074
7338,20-11-2017,"North America,Seattle,United States",Reseller,no discount,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",Audio-MP4&MP3,93.34483525,95.95,20,1950
1337,21-11-2017,"North America,Seattle,United States",Reseller,north america spring promotion,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,Cameras and camcorders -Digital Cameras,91.97773728,290,9,1951
7261,22-11-2017,"North America,Seattle,United States",Reseller,north america back-to-school promotion,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Audio-Bluetooth Headphones,6.237934042,25.69,18,8241
722,23-11-2017,"North America,Seattle,United States",Reseller,north america holiday promotion,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White,"Contoso, Ltd",Cell phones-Cell phones Accessories,4.662325784,4.74,120,20688
7073,24-11-2017,"North America,Seattle,United States",Reseller,north america spring promotion,SV DVD 7-Inch Player Portable E200 White,Southridge Video,"Music, Movies and Audio Books-Movie DVD",0.079044671,109.99,18,20689
995,25-11-2017,"North America,Seattle,United States",Reseller,north america spring promotion,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Audio-Bluetooth Headphones,85.63653707,115,18,19942
1259,26-11-2017,"North America,Seattle,United States",Reseller,no discount,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Audio-Bluetooth Headphones,33.59423366,115,10,24319
374,27-11-2017,"North America,Bethesda,United States",Online,no discount,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Audio-MP4&MP3,13.95447219,21.57,20,18161
7101,28-11-2017,"North America,Bethesda,United States",Online,no discount,Fabrikam Independent filmmaker 1/2'' 3mm X300 White,"Fabrikam, Inc.",Cameras and camcorders -Camcorders,529.7102288,1580,30,25762
1147,29-11-2017,"North America,Bethesda,United States",Online,north america spring promotion,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,Cell phones-Smart phones & PDAs ,68.84563964,310,9,25764
1344,30-11-2017,"North America,Bethesda,United States",Online,north america spring promotion,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Audio-MP4&MP3,68.53749817,109.95,9,24803
7095,01-12-2017,"North America,Bethesda,United States",Online,north america back-to-school promotion,WWI Desktop PC1.80 E1800 White,Wide World Importers,Computers-Desktops,169.9818294,229.9,96,24805
1051,02-12-2017,"North America,Bethesda,United States",Online,north america holiday promotion,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",Audio-MP4&MP3,33.15829832,134,13,24849
7111,03-12-2017,"North America,Bethesda,United States",Online,north america spring promotion,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Computers-Computers Accessories,9.437311288,11.5,9,25582
7221,04-12-2017,"North America,Bethesda,United States",Online,north america holiday promotion,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Computers-Laptops,252.4239661,326,26,23365
552,05-12-2017,"North America,Bethesda,United States",Online,north america holiday promotion,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Computers-Laptops,323.5690868,326,13,22907
7550,06-12-2017,"North America,Bethesda,United States",Online,no discount,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,Cameras and camcorders -Digital Cameras,50.34247337,290,30,19058
6999,07-12-2017,"North America,Bethesda,United States",Online,north america back-to-school promotion,"Fabrikam Social Videographer 1"" 25mm E400 Blue","Fabrikam, Inc.",Cameras and camcorders -Camcorders,75.69830335,188,12,20679
7003,08-12-2017,"North America,Bethesda,United States",Online,no discount,Contoso Screen 85in E085 Black,"Contoso, Ltd",Computers-Projectors & Screens,57.50595119,139,10,21103
7008,09-12-2017,"North America,Bethesda,United States",Online,north america spring promotion,Contoso Electronic Private Automatic Branch Exchange M90 Black,"Contoso, Ltd",Cell phones-Home & Office Phones,20.67950403,39.99,18,22243
7016,10-12-2017,"North America,Bethesda,United States",Online,north america holiday promotion,SV Car Video TFT6.2W E6281 Silver,Southridge Video,TV and Video-Car Video,77.34140494,259,52,21767
1518,11-12-2017,"North America,Bethesda,United States",Online,no discount,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Audio-Bluetooth Headphones,35.21344421,47.95,10,22470
61,12-12-2017,"North America,Bethesda,United States",Online,north america spring promotion,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Computers-Desktops,101.8589365,269.9,12,22329
7057,13-12-2017,"North America,Bethesda,United States",Online,north america holiday promotion,Contoso DVD Recorder L210 Silver,"Contoso, Ltd","Music, Movies and Audio Books-Movie DVD",126.0605019,219,26,20324
1588,14-12-2017,"North America,Bethesda,United States",Online,no discount,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Audio-Bluetooth Headphones,57.58531225,149.99,10,26102
1142,15-12-2017,"North America,Bethesda,United States",Online,no discount,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Audio-Bluetooth Headphones,74.89891042,149.99,20,26103
7517,16-12-2017,"North America,Bethesda,United States",Online,no discount,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",TV and Video-Home Theater System,92.91689467,299.9,5,21040
1707,17-12-2017,"North America,Bethesda,United States",Online,north america back-to-school promotion,SV DVD 7-Inch Player Portable E200 White,Southridge Video,"Music, Movies and Audio Books-Movie DVD",49.55953071,109.99,12,19315
6995,18-12-2017,"Europe,Leeds,United Kingdom",Store,european holiday promotion,Contoso Screen 100in E010 Black,"Contoso, Ltd",Computers-Projectors & Screens,35.98476064,190,4,19316
878,19-12-2017,"North America,Madison,United States",Store,north america back-to-school promotion,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Audio-MP4&MP3,17.38732085,21.57,12,19317
7030,20-12-2017,"North America,Plattsburgh,United States",Store,no discount,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Audio-MP4&MP3,2.417236989,21.57,5,19314
7036,21-12-2017,"North America,Plattsburgh,United States",Store,north america holiday promotion,SV Car Video LCD7 M7002 Black,Southridge Video,TV and Video-Car Video,141.8744982,369,13,5361
6977,22-12-2017,"Europe,Paris,France",Reseller,no discount,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,Cell phones-Smart phones & PDAs ,260.0038933,310,20,522
536,23-12-2017,"Europe,Paris,France",Reseller,european spring promotion,Contoso Screen 100in E010 Black,"Contoso, Ltd",Computers-Projectors & Screens,100.8907658,190,24,23361
347,24-12-2017,"Europe,Paris,France",Reseller,european holiday promotion,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Audio-Recording Pen,122.8126246,149.95,8,18521
7482,25-12-2017,"Europe,Paris,France",Reseller,european back-to-scholl promotion,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Audio-Recording Pen,43.74148544,156,18,18522
7393,26-12-2017,"Europe,Paris,France",Reseller,european back-to-scholl promotion,WWI Projector 720p LCD56 Black,Wide World Importers,Computers-Projectors & Screens,231.3916423,699,9,18817
7074,27-12-2017,"Europe,Paris,France",Reseller,european spring promotion,A. Datum Consumer Digital Camera E100 Green,A. Datum Corporation,Cameras and camcorders -Digital Cameras,266.9780192,281,6,18818
7248,28-12-2017,"Europe,Paris,France",Reseller,european back-to-scholl promotion,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Audio-Bluetooth Headphones,53.35446719,115,9,20520
7443,29-12-2017,"Asia,Sydney,Australia",Store,no discount,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,Cell phones-Smart phones & PDAs ,283.2016508,310,12,20521
7249,30-12-2017,"Europe,Ramstein,Germany",Store,european back-to-scholl promotion,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Audio-MP4&MP3,51.79231585,59.99,18,20522
543,31-12-2017,"Europe,Ramstein,Germany",Store,european holiday promotion,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Audio-MP4&MP3,65.65384215,95.95,8,19663
7644,01-01-2018,"Europe,Ramstein,Germany",Store,no discount,SV Keyboard E10 Grey,Southridge Video,Computers-Computers Accessories,33.9762466,44,5,20645
729,02-01-2018,"Europe,Ramstein,Germany",Store,european spring promotion,The Phone Company Touch Screen Phones Capacitive M908 Black,The Phone Company,Cell phones-Touch Screen Phones ,7.592818287,308,12,24273
7104,03-01-2018,"Asia,Sydney,Australia",Store,asian holiday promotion,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,TV and Video-Televisions,534.6278676,763.51,13,20646
6996,04-01-2018,"North America,Cheney,United States",Store,no discount,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Audio-MP4&MP3,58.01411779,59.99,10,25158
7078,05-01-2018,"Europe,Glasgow,United Kingdom",Store,no discount,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Computers-Computers Accessories,57.71963236,75.99,20,7158
104,06-01-2018,"Asia,Tehran,Iran",Store,asian spring promotion,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Computers-Computers Accessories,76.63046961,75.99,18,22136
7647,07-01-2018,"Asia,Tehran,Iran",Store,asian summer promotion,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",TV and Video-Home Theater System,481.0021325,599,12,18783
7082,08-01-2018,"North America,Roanoke,United States",Store,no discount,Litware Home Theater System 5.1 Channel M515 Silver,"Litware, Inc.",TV and Video-Home Theater System,237.5237647,569,10,21401
7099,09-01-2018,"North America,Calgary,Canada",Store,north america spring promotion,"Fabrikam Business Videographer 1"" 25mm M600 Blue","Fabrikam, Inc.",Cameras and camcorders -Camcorders,377.9465287,890,9,23097
1127,10-01-2018,"North America,Calgary,Canada",Store,north america holiday promotion,Adventure Works CRT17 E105 White,Adventure Works,Computers-Monitors,51.54742308,59,13,23098
126,11-01-2018,"North America,Denver,United States",Store,north america spring promotion,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",TV and Video-Home Theater System,122.4227704,409,9,23099
1627,12-01-2018,"Europe,Munich,Germany",Store,no discount,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",TV and Video-Home Theater System,416.3283622,409,10,23605
7001,13-01-2018,"Europe,Munich,Germany",Store,european spring promotion,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.","Computers-Printers, Scanners & Fax",19.98062057,159,12,23606
1761,14-01-2018,"Europe,Liverpool,United Kingdom",Store,european spring promotion,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Computers-Desktops,465.2355022,499.9,36,23100
7019,15-01-2018,"Europe,Liverpool,United Kingdom",Store,european back-to-scholl promotion,Proseware Projector 720p LCD56 White,"Proseware, Inc.",Computers-Projectors & Screens,419.8439915,699,9,26303
7106,16-01-2018,"Asia,Hong Kong,China",Store,no discount,"Adventure Works 20"" CRT TV E15 White",Adventure Works,TV and Video-Televisions,76.2009309,169.99,5,21203
7580,17-01-2018,"North America,Redmond,United States",Store,north america spring promotion,Contoso Screen 85in E085 Black,"Contoso, Ltd",Computers-Projectors & Screens,84.28694246,139,9,25500
7337,18-01-2018,"Asia,Beijing,China",Reseller,asian spring promotion,"Adventure Works 20"" CRT TV E15 White",Adventure Works,TV and Video-Televisions,46.18642851,169.99,4,25501
7160,19-01-2018,"Asia,Beijing,China",Reseller,no discount,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",Audio-MP4&MP3,105.8683075,299.23,10,23058
313,20-01-2018,"Asia,Beijing,China",Reseller,no discount,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",TV and Video-Home Theater System,227.3305219,599,10,25121
7023,21-01-2018,"Asia,Beijing,China",Reseller,no discount,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Computers-Computers Accessories,10.24837603,11.5,10,25122
7739,22-01-2018,"Asia,Beijing,China",Reseller,asian spring promotion,Adventure Works CRT15 E101 White,Adventure Works,Computers-Monitors,46.25284091,90,9,22044
7000,23-01-2018,"Asia,Beijing,China",Reseller,no discount,Proseware High-Performance Business-Class Laser Fax X200 White,"Proseware, Inc.","Computers-Printers, Scanners & Fax",134.9283809,248,20,18885
7002,24-01-2018,"Asia,Beijing,China",Reseller,asian spring promotion,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,"Fabrikam, Inc.",Cameras and camcorders -Camcorders,137.0038704,422,9,24327
7007,25-01-2018,"Asia,Beijing,China",Reseller,asian holiday promotion,Proseware LCD17W E202 White,"Proseware, Inc.",Computers-Monitors,54.9782049,129,13,24328
10,26-01-2018,"Asia,Beijing,China",Reseller,asian spring promotion,Adventure Works LCD17 E200 Black,Adventure Works,Computers-Monitors,95.05342308,99,18,25264
7055,27-01-2018,"Asia,Beijing,China",Reseller,no discount,Contoso DVD Recorder L230 Grey,"Contoso, Ltd","Music, Movies and Audio Books-Movie DVD",139.7597582,219,10,25265
1616,28-01-2018,"North America,Renton,United States",Store,north america spring promotion,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Audio-MP4&MP3,11.69254545,77.68,9,18849
7469,29-01-2018,"North America,North Harford,United States",Catalog,no discount,"Adventure Works 20"" CRT TV E15 White",Adventure Works,TV and Video-Televisions,131.1911661,169.99,20,18850
7096,30-01-2018,"North America,North Harford,United States",Catalog,no discount,SV Car Video TFT7 M7000 Silver,Southridge Video,TV and Video-Car Video,302.5433836,299,10,18842
7089,31-01-2018,"North America,North Harford,United States",Catalog,north america holiday promotion,A. Datum Rangefinder Digital Camera X200 Azure,A. Datum Corporation,Cameras and camcorders -Digital Cameras,47.65391317,200,39,18773
7079,01-02-2018,"North America,North Harford,United States",Catalog,north america holiday promotion,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",TV and Video-Home Theater System,143.7006569,599,13,18774
7087,02-02-2018,"North America,North Harford,United States",Catalog,north america back-to-school promotion,Adventure Works LCD24W X300 White,Adventure Works,Computers-Monitors,553.1693462,869,6,18801
7097,03-02-2018,"North America,North Harford,United States",Catalog,north america back-to-school promotion,A. Datum Consumer Digital Camera M300 Grey,A. Datum Corporation,Cameras and camcorders -Digital Cameras,126.7608801,184.5,12,20577
133,04-02-2018,"North America,North Harford,United States",Catalog,north america holiday promotion,Contoso 8GB MP3 Player new model M820 White,"Contoso, Ltd",Audio-MP4&MP3,90.63662106,134,13,24498
1611,05-02-2018,"North America,North Harford,United States",Catalog,no discount,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Computers-Computers Accessories,10.49649255,11.5,5,18011
539,06-02-2018,"North America,North Harford,United States",Catalog,north america back-to-school promotion,Contoso 32GB Video MP3 Player M3200 White,"Contoso, Ltd",Audio-MP4&MP3,118.522837,255,12,22370
7118,07-02-2018,"North America,North Harford,United States",Catalog,north america back-to-school promotion,Adventure Works Laptop8.9 E0890 Black,Adventure Works,Computers-Laptops,153.3405062,326,24,20858
7122,08-02-2018,"North America,North Harford,United States",Catalog,no discount,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,"Fabrikam, Inc.",Cameras and camcorders -Camcorders,555.7264232,1600,10,19823
